Facet,Category,Definition,Score_1,Score_5,Few_Shot_Example
Seeking approval,Emotion,"The degree to which a speaker seeks validation, recognition, or confirmation from others in dialogue.",Very low need for approval or validation from others,Extremely high need for approval or validation from others,"Do you think I'm doing a good job on this project, I really want to make sure I'm meeting your expectations."
Judging (J),Pragmatics,"The tendency to approach life in a planned, organized, and decisive manner, as opposed to a more spontaneous or adaptable approach.",Very low tendency to plan and organize,Extremely high tendency to plan and organize,I've made a schedule for the day and I expect everyone to stick to it.
Big Five facet Openness – Artistic Interests,Linguistic,"The degree to which a speaker is open to new experiences, ideas, and creative pursuits, particularly in the realm of art and aesthetics.",Very low interest in artistic or creative pursuits,Extremely high interest in artistic or creative pursuits,I've been reading a lot of poetry lately and I'm really inspired by the works of Walt Whitman.
Psychological construct: Operant-Learning rate,Pragmatics,"The rate at which a speaker learns from their environment and adapts their behavior based on rewards, punishments, or other consequences.",Very low ability to learn from experience and adapt behavior,Extremely high ability to learn from experience and adapt behavior,"I've been trying to learn from my mistakes and adjust my approach accordingly, it's been really helpful."
Psychological construct: Need for Achievement level,Emotion,"The degree to which a speaker is motivated to achieve success, recognition, or accomplishment in their endeavors.",Very low drive to achieve success or recognition,Extremely high drive to achieve success or recognition,"I'm determined to win this competition, I've been practicing for months and I'm not going to let anything get in my way."
Cantankerousness,Emotion,"The tendency to be irritable, argumentative, or disagreeable in dialogue, often to the point of being confrontational or hostile.",Very low tendency to be irritable or argumentative,Extremely high tendency to be irritable or argumentative,"I don't see why you're being so stubborn, can't you just listen to reason for once?"
Material properties knowledge,Pragmatics,"The degree to which a speaker has knowledge about the properties and characteristics of various materials, such as their strength, durability, or conductivity.",Very low knowledge of material properties,Extremely high knowledge of material properties,I've been studying the properties of different metals and I can tell you that titanium is one of the strongest and most corrosion-resistant.
Hostility,Emotion,"The degree to which a speaker expresses anger, aggression, or antagonism towards others in dialogue.",Very low expression of hostile or aggressive feelings,Extremely high expression of hostile or aggressive feelings,"I'm so fed up with this company, they're always trying to rip us off and take advantage of us."
Independence,Pragmatics,"The degree to which a speaker values and asserts their autonomy, self-reliance, and freedom from external influence or control.",Very low desire for independence or autonomy,Extremely high desire for independence or autonomy,"I don't need anyone's help, I can handle this project on my own and make my own decisions."
Sufi practice: Sufi retreat attendance count,Safety,"The number of times a speaker has attended Sufi retreats or spiritual gatherings, which can indicate their level of commitment to their spiritual practice.",Very low attendance at Sufi retreats or spiritual gatherings,Extremely high attendance at Sufi retreats or spiritual gatherings,I've been to several Sufi retreats and they've really helped me deepen my spiritual practice and connect with like-minded individuals.
Chromatin-accessibility score,Linguistic,The degree to which a conversation references or implies genetic or biological concepts related to chromatin accessibility.,Very low presence of genetic or biological concepts related to chromatin accessibility,Extremely high presence of genetic or biological concepts related to chromatin accessibility,The latest research on chromatin accessibility has led to a breakthrough in understanding gene expression.
Spiritual virtue: Humility practice index,Emotion,"The extent to which a conversation reflects humility, modesty, and a willingness to learn from others.",Very low display of humility and openness to feedback,Extremely high display of humility and openness to feedback,"I realize now that my initial understanding was flawed, and I appreciate you correcting me."
I Ching hexagram 36 resonance level,Pragmatics,"The degree to which a conversation aligns with the principles and wisdom of the I Ching hexagram 36, which advises hiding one's light to preserve it.",Very low alignment with the strategic withdrawal and preservation principles of hexagram 36,Extremely high alignment with the strategic withdrawal and preservation principles of hexagram 36,"Sometimes, it's wise to step back and observe before acting, as the I Ching's hexagram 36 teaches us."
Well-being component: Engagement,Emotion,"The level of interest, enthusiasm, and participation shown by an individual in a conversation or activity.",Very low level of interest or participation,Extremely high level of interest and participation,"I'm really excited about this project, and I think it has the potential to make a significant impact."
Need for social interaction,Pragmatics,"The degree to which a conversation indicates a desire or need for social connection, interaction, or community.",Very low need for social interaction or community,Extremely high need for social interaction and community,"I've been feeling really isolated lately, and I think it's time for me to join a club or group that aligns with my interests."
Peer-collaboration hours,Pragmatics,"The amount of time spent collaborating or working with peers on a project or task, as indicated in the conversation.",Very few hours spent in peer collaboration,Extremely high number of hours spent in peer collaboration,"We've been working together on this project for over 100 hours, and it's really starting to come together."
Arts and Humanities,Linguistic,"The degree to which a conversation references, discusses, or shows interest in arts and humanities subjects.",Very low presence of arts and humanities topics,Extremely high presence of arts and humanities topics,"I've been reading a lot of classical literature lately, and I'm fascinated by the themes and motifs in Shakespeare's plays."
Religious practice: Quran khatam cycles per year,Pragmatics,"The frequency or regularity of completing a full reading of the Quran, as indicated in the conversation.",Very low frequency of Quran khatam cycles per year,Extremely high frequency of Quran khatam cycles per year,"I try to complete a khatam of the Quran at least once a month, as it helps me stay connected to my faith."
Bahá'í spiritual metric: Ridván festival participation,Pragmatics,"The level of involvement or participation in the Ridván festival, a significant event in the Bahá'í calendar, as reflected in the conversation.",Very low level of participation in Ridván festival activities,Extremely high level of participation in Ridván festival activities,"The Ridván festival is a time of great joy and celebration for our community, and I feel blessed to be able to participate in it every year."
Compassion,Emotion,"The degree to which a conversation shows empathy, kindness, and concern for the well-being of others.",Very low display of empathy or kindness towards others,Extremely high display of empathy and kindness towards others,"I can see that you're really struggling, and I want you to know that I'm here for you and willing to help in any way I can."
Information Retention,Linguistic,"The ability to recall and apply previously learned information or knowledge, as demonstrated in the conversation.",Very low ability to recall or apply learned information,Extremely high ability to recall and apply learned information,"As we discussed earlier, the key to solving this problem is to apply the principles of thermodynamics, which I learned in my physics class last year."
Eye-contact duration,Pragmatics,"The amount of time spent maintaining eye contact during a conversation, which can indicate confidence, honesty, or engagement.",Very short duration of eye contact,Extremely long duration of eye contact,"Maintaining eye contact is crucial in building trust, and I make sure to look people in the eye when I'm speaking with them."
Self-righteousness,Emotion,"The degree to which a conversation reflects an attitude of moral superiority, judgment, or condescension towards others.",Very low presence of self-righteous or judgmental attitudes,Extremely high presence of self-righteous or judgmental attitudes,"I know that my way is the only right way, and everyone else is just misguided or ignorant."
General Mood and Attitude,Emotion,"The overall emotional tone or disposition conveyed in a conversation, including positivity, negativity, or neutrality.",Very negative or pessimistic mood and attitude,Extremely positive and optimistic mood and attitude,"I'm feeling really upbeat and excited about the future, and I think everything is going to work out for the best."
Serotonin transporter availability,Linguistic,"The degree to which a conversation references or implies concepts related to serotonin, mental health, or neuroscience.",Very low presence of concepts related to serotonin or mental health,Extremely high presence of concepts related to serotonin or mental health,"Research has shown that serotonin levels can have a significant impact on mood and behavior, and I've been trying to learn more about how to maintain healthy serotonin levels."
Contribution to Group Goals,Pragmatics,The extent to which an individual's actions and statements support and advance the objectives of a group or team.,Very low presence of collaborative or supportive behavior,Extremely high presence of collaborative and goal-oriented behavior,"I suggested we work together to meet the project deadline, and my idea ended up being the one we used."
Dignity,Emotion,"The quality of being worthy of respect, self-respect, and a sense of self-worth in one's interactions and dialogue.",Very low self-respect or self-worth evident in interactions,Extremely high self-respect and self-worth evident in interactions,"Despite the disagreement, I maintained my composure and asserted my point of view without aggression."
HEXACO Personality Inventory Facets,Linguistic,"A set of broad dimensions of personality, including honesty-humility, emotionality, extraversion, agreeableness, conscientiousness, and openness to experience, as expressed through language.",Very low presence of personality traits such as honesty or conscientiousness in language,Extremely high presence of personality traits such as honesty or conscientiousness in language,"I always try to be honest with my friends, even when it's hard, because I believe it's the right thing to do."
Evaluating Solutions,Pragmatics,"The ability to assess and compare different solutions to a problem, considering their feasibility, effectiveness, and potential outcomes.",Very low ability to critically evaluate or compare solutions,Extremely high ability to critically evaluate and compare solutions,"Before we implement the new policy, let's weigh the pros and cons and consider alternative approaches to ensure we're making the best decision."
Input,Linguistic,"The act of providing or receiving information, ideas, or feedback through language, contributing to the flow of conversation or decision-making process.",Very low contribution of meaningful information or ideas to the conversation,Extremely high contribution of valuable information or ideas to the conversation,I suggested we consider market trends and customer feedback when developing our new product line.
Discreteness,Linguistic,"The quality of being distinct, separate, or unambiguous in one's language, avoiding confusion or overlap between ideas or concepts.","Very low clarity or distinctness in language, leading to confusion",Extremely high clarity and distinctness in language,"To avoid any misunderstanding, let me clearly outline the three separate options we have for the project."
Energy-healing practice: Reiki sessions / year,Safety,"The frequency of engaging in Reiki, a form of energy healing, which can indicate a focus on personal well-being and safety.",Very low engagement with energy-healing practices like Reiki,Extremely high engagement with energy-healing practices like Reiki,I make sure to have at least one Reiki session per month to help manage my stress and promote healing.
Astrology: Rising sign is Scorpio,Linguistic,"A belief or identification with the astrological sign of Scorpio as one's rising sign, which may influence personality traits or behaviors expressed in dialogue.",No mention or relevance of astrological signs in conversation,"Frequent reference to or identification with being a Scorpio rising, influencing conversation topics or interpersonal dynamics","As a Scorpio rising, I've always been drawn to the mysterious and the unknown, which is why I love solving puzzles."
Character strength: Social Intelligence,Pragmatics,"The ability to understand and navigate complex social situations, including the ability to empathize with others, communicate effectively, and build strong relationships.",Very low ability to understand or navigate social situations effectively,Extremely high ability to understand and navigate social situations with empathy and effectiveness,I made sure to listen actively to my colleague's concerns and addressed them in a way that respected their perspective and feelings.
Bravery,Emotion,"The quality of showing courage or strength in the face of fear, danger, or difficulty, as expressed through actions or statements in dialogue.",Very low willingness to take risks or face challenges,Extremely high willingness to take risks or face challenges with courage,"Despite my fear of public speaking, I volunteered to give the presentation because I believed in the importance of our message."
Childhood Experiences,Linguistic,"Events, circumstances, or conditions from one's childhood that may influence current behaviors, attitudes, or language use.",Very low relevance or impact of childhood experiences on current dialogue or behavior,Extremely high relevance or impact of childhood experiences on current dialogue or behavior,"Growing up in a multicultural community has taught me the importance of diversity and inclusion, which I now advocate for in my professional life."
Data-sharing consent level,Safety,"The degree to which an individual is willing to share personal data, indicating a level of trust or concern for privacy and security.",Very low willingness to share personal data due to privacy concerns,"Extremely high willingness to share personal data, indicating trust in data handling practices","I'm happy to share my contact information for the purposes of the study, as I believe in the importance of the research."
Vision-check frequency,Safety,"The regularity with which one undergoes vision checks, indicating a level of concern for health and safety.","Very low frequency of vision checks, indicating neglect of eye health","Extremely high frequency of vision checks, indicating proactive care for eye health",I schedule an annual eye exam to ensure my vision remains healthy and to catch any potential issues early.
Physical-violence exposure,Safety,"The extent to which an individual has been exposed to or experienced physical violence, which can impact their well-being, behavior, and language use.",No exposure to physical violence,"Extensive exposure to physical violence, with significant impact on well-being and behavior","Unfortunately, I've experienced violence in the past, which is why I'm passionate about supporting organizations that work to prevent domestic violence."
Macronutrient ratio: fat,Safety,"The proportion of dietary fat in one's diet, which can indicate a focus on health, nutrition, and safety.","Very low proportion of dietary fat, potentially indicating an unhealthy diet","Optimal proportion of dietary fat, indicating a balanced and healthy diet","I aim to keep my daily fat intake balanced, focusing on healthy fats like those found in nuts and avocados to support my overall health and energy levels."
Cooking and Culinary Arts,Linguistic,The ability to discuss and describe various cooking techniques and recipes in conversation.,Very low presence of culinary knowledge or terminology,Extremely high presence of culinary expertise and descriptive language,"I'm making a bouillabaisse with a rouille crouton and a dollop of saffron aioli, it's a classic Provençal dish."
Language use,Linguistic,"The way an individual uses language to convey meaning, including grammar, syntax, and vocabulary.",Very limited and simplistic language use,Sophisticated and nuanced language use with complex vocabulary and sentence structures,"The ephemeral nature of human existence is juxtaposed with the perpetual quest for meaning, thereby rendering our mortal coil a poignant paradox."
Dance-style mastery diversity,Linguistic,The ability to discuss and describe various dance styles and techniques in conversation.,Very low presence of dance-related knowledge or terminology,Extremely high presence of dance expertise and descriptive language,"I've been studying the nuances of capoeira, and I'm fascinated by the way it blends elements of dance, acrobatics, and music."
Satya Adherence,Pragmatics,"The practice of truthfulness and honesty in communication, as outlined in the yogic principle of satya.",Very low commitment to honesty and transparency,Unwavering dedication to truthfulness and authenticity,I'd rather be honest and risk hurting your feelings than sugarcoat the truth and compromise my integrity.
Ethnocentrism,Pragmatics,"The tendency to view one's own culture as superior to others, often leading to biased or insensitive communication.",Very low presence of cultural bias or insensitivity,Extremely high presence of cultural superiority complex,"Our way of doing things is the only civilized approach, and everyone else is just primitive and unsophisticated."
Emotional Boundaries,Emotion,The ability to maintain healthy limits and distinctions between one's own emotions and those of others.,"Very poor emotional boundaries, leading to emotional overload or enmeshment",Extremely healthy and clear emotional boundaries,"I understand that you're upset, but I need some space to process my own emotions and prioritize self-care."
Creativity in solutions,Pragmatics,The ability to generate innovative and effective solutions to problems or challenges.,Very limited and unoriginal problem-solving approach,Extremely creative and resourceful approach to finding solutions,What if we combined machine learning algorithms with crowdsourced data to create a predictive model for social impact?
Psychological construct: Hope scale,Emotion,The degree to which an individual experiences hope and optimism about the future.,Very low levels of hope or optimism,Extremely high levels of hope and positive expectations,"I'm confident that we can create a better world, and I'm excited to be a part of the solution."
Practice frequency: Walking meditation,Pragmatics,The regularity with which an individual practices walking meditation as a mindfulness technique.,Very rare or nonexistent practice of walking meditation,Extremely frequent and dedicated practice of walking meditation,"I try to incorporate walking meditation into my daily routine, even if it's just a few minutes a day, to clear my mind and focus on the present."
Depression (DEP),Emotion,"The presence and severity of depressive symptoms, such as low mood, loss of interest, or changes in appetite or sleep.",Very low levels of depressive symptoms,Extremely high levels of depressive symptoms,"I've been feeling overwhelmed and hopeless for weeks, and I just can't seem to find the motivation to do anything anymore."
Understanding Mathematical Concepts,Linguistic,"The ability to comprehend and explain mathematical ideas, including abstract concepts and problem-solving strategies.",Very limited understanding of mathematical concepts,Extremely high level of mathematical knowledge and understanding,"The application of fractal geometry to model complex systems is a fascinating area of study, and it has numerous real-world implications."
Hypomania (Ma),Emotion,"The presence and severity of hypomanic symptoms, such as elevated mood, increased energy, or reduced need for sleep.",Very low levels of hypomanic symptoms,Extremely high levels of hypomanic symptoms,"I've been feeling invincible and unstoppable, with a million ideas and projects going on at once, and I just can't seem to slow down."
Goal-Directed Behavior,Pragmatics,"The ability to set and work towards achieving specific goals, including planning, organization, and self-regulation.",Very limited ability to set and achieve goals,Extremely high level of goal-directed behavior and achievement,"I've broken down my long-term vision into smaller, manageable tasks, and I'm making steady progress towards achieving my objectives."
Depth of Emotional Connections,Emotion,"The ability to form and maintain meaningful, empathetic relationships with others.",Very superficial or shallow emotional connections,Extremely deep and meaningful emotional connections,"I feel like I can be my authentic self around my closest friends, and we can have profound, vulnerable conversations that bring us even closer together."
Binding foundations index,Pragmatics,"The degree to which an individual's beliefs, values, and principles serve as a foundation for their thoughts, feelings, and actions.",Very weak or inconsistent foundation of beliefs and values,Extremely strong and consistent foundation of beliefs and values,"My personal values of compassion, empathy, and fairness guide every decision I make, and I strive to live in alignment with those principles."
Ego Dissolution Frequency,Linguistic,The frequency at which a speaker references or alludes to transcending their individual ego or self.,Very low presence of ego dissolution references,Extremely high presence of ego dissolution references,"As I let go of my attachments, I felt my sense of self dissolving into the universe."
Activator: Turning thoughts into action,Pragmatics,The tendency to express thoughts and ideas in a way that implies or encourages taking action or making decisions.,Very low presence of action-oriented language,Extremely high presence of action-oriented language,"Instead of just talking about it, let's create a plan and start working on the project tomorrow."
Gnostic spiritual metric: Archon meditation frequency,Linguistic,The frequency at which a speaker references or discusses meditation practices related to Gnostic spirituality and the concept of Archons.,Very low presence of Archon meditation references,Extremely high presence of Archon meditation references,"Through my daily Archon meditation practice, I've come to realize the true nature of the material world."
Exemplariness,Pragmatics,The degree to which a speaker presents themselves as a positive model or example for others to follow.,Very low presence of exemplary behavior or language,Extremely high presence of exemplary behavior or language,"I've made it a point to volunteer regularly, and I hope others will join me in giving back to the community."
Moral and Ethical Parameters,Safety,The degree to which a speaker references or discusses moral and ethical guidelines or principles.,Very low presence of moral and ethical discussions,Extremely high presence of moral and ethical discussions,"Before making any decision, we must consider the potential impact on all stakeholders and ensure it aligns with our core values."
Submission,Emotion,The degree to which a speaker expresses a willingness to yield or surrender to the will or authority of others.,Very low presence of submissive language or tone,Extremely high presence of submissive language or tone,"I understand that I may not have all the answers, so I'm happy to follow your lead and learn from your expertise."
Frankness,Linguistic,"The degree to which a speaker expresses themselves in a direct, honest, and straightforward manner.",Very low presence of frank or direct language,Extremely high presence of frank or direct language,"Honestly, I think we need to reconsider our approach and be more transparent about our intentions."
Psychological construct: Psychological Safety climate,Safety,The degree to which a speaker creates an environment where others feel comfortable sharing their thoughts and feelings without fear of judgment or retribution.,Very low presence of language that promotes psychological safety,Extremely high presence of language that promotes psychological safety,"I want to assure you that this is a safe space for open discussion, and all opinions are valued and respected."
Psychological construct: Self-Compassion total,Emotion,"The degree to which a speaker expresses kindness, understanding, and acceptance towards themselves, especially in times of difficulty or failure.",Very low presence of self-compassionate language or tone,Extremely high presence of self-compassionate language or tone,"Instead of beating myself up over the mistake, I'm trying to practice self-compassion and focus on what I can learn from it."
Psychological construct: Executive-Function composite,Linguistic,"The degree to which a speaker demonstrates high-level cognitive functions such as planning, decision-making, and problem-solving.",Very low presence of executive function-related language or behaviors,Extremely high presence of executive function-related language or behaviors,"To tackle this complex project, I've broken it down into smaller tasks, set deadlines, and established clear goals and objectives."
Rebelliousness,Emotion,"The degree to which a speaker expresses a willingness to challenge authority, conventions, or established norms.",Very low presence of rebellious language or tone,Extremely high presence of rebellious language or tone,I'm not afraid to speak out against the status quo and challenge the powers that be when I see injustice or inequality.
Volunteer Work,Pragmatics,The degree to which a speaker references or discusses their involvement in volunteer or community service activities.,Very low presence of volunteer work references,Extremely high presence of volunteer work references,"I've been volunteering at the local soup kitchen for months, and it's been an incredibly rewarding experience."
Intellect,Linguistic,"The degree to which a speaker demonstrates complex thought processes, uses sophisticated vocabulary, and engages in abstract discussions.",Very low presence of intellectual language or tone,Extremely high presence of intellectual language or tone,"The nuances of existential philosophy are fascinating, and I think they have significant implications for our understanding of human consciousness."
Use of Mathematical Formulas,Linguistic,"The frequency at which a speaker references or uses mathematical formulas, equations, or concepts in their language.",Very low presence of mathematical language or formulas,Extremely high presence of mathematical language or formulas,"If we apply the formula for exponential growth, we can see that the population will double in just a few years."
Coarseness,Emotion,"The degree to which a speaker uses language that is crude, rude, or off-putting, often with the intention of provoking a reaction or asserting dominance.",Very low presence of coarse language or tone,Extremely high presence of coarse language or tone,"I'm not going to sugarcoat it – the situation is a disaster, and we need to take drastic action to fix it."
Behavioral Tendencies and Subcomponents,Linguistic,The presence of language that reveals underlying behavioral patterns and tendencies in a conversation.,Very low presence of behavioral cues in language,Extremely high presence of behavioral cues in language,"I always find myself checking my phone for notifications, even when I'm in the middle of a conversation."
Sensitivity,Emotion,The degree to which a speaker's language conveys emotional awareness and empathy towards others.,Very low emotional awareness and empathy in language,Extremely high emotional awareness and empathy in language,"I can totally see why you'd feel that way, and I'm so sorry you're going through this."
Divided Attention Ability,Linguistic,"The ability to engage in multiple conversations or tasks simultaneously, as reflected in language.",Very low ability to multitask and engage in multiple conversations,Extremely high ability to multitask and engage in multiple conversations,"I'm on a call with my team, but I can also answer your question about the project timeline."
Psychological construct: Acculturative Stress score,Emotion,The degree to which a speaker's language reflects stress and difficulty adapting to a new cultural environment.,Very low levels of acculturative stress in language,Extremely high levels of acculturative stress in language,"I've been feeling so overwhelmed since moving to a new country, and I just don't know how to navigate the customs here."
Dauntlessness,Emotion,The degree to which a speaker's language conveys fearlessness and a willingness to take risks.,Very low presence of fearlessness and risk-taking in language,Extremely high presence of fearlessness and risk-taking in language,"I'm not afraid to quit my job and start my own business, even if it means taking a huge financial risk."
Concreteness,Linguistic,"The degree to which a speaker's language is specific, detailed, and concrete, rather than abstract.",Very low presence of concrete language and specific details,Extremely high presence of concrete language and specific details,"I'm planning a trip to Paris, and I've already booked a hotel on the Rue de Rivoli and made reservations at a restaurant in the Latin Quarter."
Hysteria (Hy),Emotion,The degree to which a speaker's language reflects emotional instability and a tendency to be overly dramatic.,Very low presence of emotional instability and dramatic language,Extremely high presence of emotional instability and dramatic language,"My life is literally over, and I'll never be happy again, all because I spilled coffee on my shirt this morning."
Jewish spiritual metric: Sukkot lulav-shaking days,Pragmatics,The degree to which a speaker's language reflects adherence to and discussion of Jewish spiritual practices and traditions.,Very low presence of Jewish spiritual themes and practices in language,Extremely high presence of Jewish spiritual themes and practices in language,"I'm so excited for Sukkot, and I've been preparing my lulav and etrog for the holiday."
Sentence Structure,Linguistic,"The complexity and organization of a speaker's sentence structure, including use of clauses and phrases.",Very simple sentence structure with minimal complexity,Extremely complex sentence structure with multiple clauses and phrases,"While I was walking to the store, I saw a friend from work, who was also on her way to meet a client, and we ended up chatting for a bit about our projects."
Esteem Needs,Emotion,"The degree to which a speaker's language reflects a need for self-esteem, recognition, and respect from others.",Very low presence of esteem needs in language,Extremely high presence of esteem needs in language,"I just got a promotion at work, and I'm so proud of myself, but I wish my boss would acknowledge my achievements more publicly."
Understanding mechanical concepts,Linguistic,The degree to which a speaker's language reflects comprehension of mechanical systems and technical concepts.,Very low understanding of mechanical concepts in language,Extremely high understanding of mechanical concepts in language,"I've been working on my car's engine, and I've figured out how to adjust the timing belt and replace the spark plugs."
Auditory Memory Recall,Linguistic,"The ability to recall and repeat back information that was presented orally, as reflected in language.",Very low ability to recall auditory information,Extremely high ability to recall auditory information,"My friend told me a story about her trip to Europe, and I can still remember all the details she mentioned, including the names of the cities she visited."
Storytelling proficiency,Linguistic,"The ability to engage and persuade an audience through effective storytelling, as reflected in language.",Very low proficiency in storytelling,Extremely high proficiency in storytelling,"I'll never forget the time I accidentally superglued my shoes to the floor during a presentation, and I had to think on my feet to come up with a joke to break the tension."
Music-lessons years,Pragmatics,"The degree to which a speaker's language reflects their experience and training in music, including the number of years they've taken lessons.",Very little to no experience with music lessons,Extremely high level of experience with music lessons,"I've been playing the piano for 10 years, and I've been teaching music theory to kids for the past 5 years."
Warmheartedness,Emotion,"The degree to which a speaker's language conveys kindness, empathy, and a genuine interest in others' well-being.",Very low presence of warmhearted language and empathetic tone,Extremely high presence of warmhearted language and empathetic tone,"I'm so happy to hear that you're doing well, and I've been thinking about you all day, wondering how I can support you during this tough time."
Self-effacement,Emotion,The tendency to belittle or undervalue oneself in conversation.,Very low presence of self-deprecating comments or behavior.,Frequent use of self-deprecating humor or excessive humility.,"I'm really not sure I'm the right person for this job, but I'll try my best."
Outspokenness,Linguistic,The willingness to express one's opinions or thoughts freely and openly.,Very reserved and hesitant to share thoughts or opinions.,"Extremely vocal and unafraid to express opinions, even if unpopular.",I think the current policy is completely misguided and we should reconsider our approach.
Sleep-environment temperature,Safety,"The degree to which an individual prioritizes a safe and comfortable sleep environment, including temperature.","Tends to overlook or neglect sleep environment temperature, potentially leading to discomfort.",Always prioritizes and maintains an optimal sleep environment temperature for restful sleep.,I always make sure my bedroom is at a comfortable 68 degrees before going to sleep.
Comprehension of spoken information,Linguistic,The ability to understand and process spoken language effectively.,"Struggles to follow or understand spoken conversations, often needing clarification.","Easily grasps and retains complex spoken information, even in noisy environments.","I was able to understand the professor's lecture perfectly, even when he was speaking quickly."
Blissfulness,Emotion,"A state of supreme happiness or joy, often reflected in conversation.",Rarely expresses happiness or seems unfulfilled.,"Consistently radiates joy and contentment, even in challenging situations.",I feel like I'm on top of the world and nothing can bring me down today.
Sequential Memory Recall,Linguistic,"The ability to remember and recall sequences of information, such as stories or instructions.","Struggles to recall sequences of events or information, often getting details mixed up.",Easily remembers and recounts complex sequences of information with perfect accuracy.,"I can recall the entire plot of my favorite book, including all the character developments."
Withdrawnness,Emotion,The tendency to pull back or disengage from social interactions or conversations.,"Very outgoing and engaged in social interactions, rarely withdrawing.","Frequently withdraws from conversations or social interactions, preferring solitude.",I'm just going to step outside for some fresh air and collect my thoughts.
Hindu spiritual metric: Yoga discipline hours / week,Pragmatics,The amount of time dedicated to yoga practice as a measure of spiritual discipline.,Practically no time is dedicated to yoga or spiritual practices.,Spends several hours each week engaged in rigorous yoga practice as part of spiritual discipline.,I wake up every morning at 5 am to meditate and practice yoga for two hours.
Conservatism,Pragmatics,"The tendency to prefer traditional or established views, values, or practices.","Very open to new ideas and progressive thinking, rarely adhering to traditional views.","Strongly adheres to traditional values and practices, resisting change or innovation.","I believe we should stick with what has worked for generations, rather than trying new, untested methods."
Adaptability and Flexibility Subcomponents,Pragmatics,"The ability to adjust to new, different, or changing requirements, including being open to learning and adjusting plans.","Struggles to adapt to changes or new information, preferring routine and predictability.","Easily adjusts to new situations, learns quickly, and is highly flexible in plans and approach.","When the project scope changed, I was able to pivot quickly and come up with a new plan that incorporated the changes."
Hindu spiritual metric: Vrata vows observed / year,Pragmatics,The number of spiritual vows or observances kept as part of Hindu spiritual practice.,Does not observe any spiritual vows or practices.,"Observes numerous spiritual vows and practices throughout the year, demonstrating deep commitment.",I observe a vow of silence for one day each month to focus on my spiritual growth.
Ardency,Emotion,The quality of being intensely enthusiastic or passionate about something.,"Lacks passion or enthusiasm, approaching tasks or topics with indifference.","Displays intense passion and enthusiasm, inspiring others with their ardor.",I am absolutely passionate about environmental conservation and spend all my free time volunteering for related causes.
Aesthetic Appreciation,Linguistic,"The ability to recognize, appreciate, and discuss the artistic or beautiful aspects of something.",Shows little interest or ability to appreciate artistic or aesthetic qualities.,"Has a deep appreciation for art, music, and other creative expressions, often able to provide insightful critiques.",The way the light reflects off the water in this painting is truly breathtaking and speaks to the artist's skill.
Transactional Leadership,Pragmatics,A leadership style that focuses on exchanges or transactions between the leader and followers to achieve goals.,"Does not use transactional methods, such as rewards or punishments, to motivate others.","Effectively uses transactional leadership techniques, such as contingent rewards, to motivate and direct team members.","If we meet our sales targets this quarter, I promise a bonus for each team member."
Value orientation: Universalism,Pragmatics,"The degree to which an individual prioritizes the well-being of all people and the planet, valuing unity and cooperation.",Prioritizes personal or local interests over global or universal well-being.,"Strongly values and acts in the interest of global unity, environmental sustainability, and the well-being of all people.","I believe that our company should prioritize sustainable practices, even if it means reducing profits, to ensure a better future for everyone."
Perseverance,Linguistic,The ability to persist in dialogue despite challenges or setbacks is demonstrated through perseverance.,Very low presence of persistence in conversation,Extremely high presence of persistence in conversation,"I will keep trying to explain this concept until you understand it, no matter how long it takes."
Regularity of Self-Reflection,Pragmatics,The frequency and depth of self-examination and introspection in conversation is reflected in regularity of self-reflection.,Rarely engages in self-reflection during conversation,Frequently and deeply engages in self-reflection during conversation,"I've been thinking a lot about my own biases and how they impact my opinions, and I'm trying to be more aware of them in our conversation."
Controlling Reactions,Emotion,The ability to manage and regulate emotional responses in conversation is demonstrated through controlling reactions.,Often reacts impulsively or emotionally in conversation,Consistently remains calm and composed in conversation,"I understand that you disagree with me, and I'm going to take a moment to collect my thoughts before responding."
Psychological construct: Cultural Intelligence – Behavioral,Pragmatics,The ability to understand and adapt to different cultural norms and behaviors in conversation is reflected in cultural intelligence.,Very low awareness and adaptation to cultural differences in conversation,Extremely high awareness and adaptation to cultural differences in conversation,"I've noticed that in your culture, it's customary to use formal titles when addressing someone, so I'll make sure to do that in our conversation."
Metabolic Rate (Low or High),Safety,"The physical state of having a low or high metabolic rate, which may impact conversation energy and engagement.",Very low energy levels due to metabolic rate,Extremely high energy levels due to metabolic rate,"I've been feeling really sluggish today, so bear with me if I seem a bit slow to respond."
Dietary Habits,Safety,"The patterns and choices of food consumption, which may influence conversation topics and energy levels.",Very unhealthy dietary habits,Extremely healthy dietary habits,"I've been trying to eat more plant-based meals, and I've noticed it's given me more energy for our conversations."
Significance: Desire to make an impact,Linguistic,The motivation to have a meaningful effect or influence on others through conversation is demonstrated by a desire to make an impact.,Very low desire to make a positive impact in conversation,Extremely high desire to make a positive impact in conversation,I want to make sure that our conversation today inspires you to take action and make a difference in your community.
Psychological construct: Resilience-Trait score,Emotion,The ability to cope with and bounce back from adversity or challenging conversations is reflected in resilience.,Very low ability to cope with stress or adversity in conversation,Extremely high ability to cope with stress or adversity in conversation,"I know that we're discussing a difficult topic, but I'm committed to finding a way forward and learning from the challenge."
Boredom Susceptibility,Linguistic,The tendency to become disengaged or uninterested in conversation due to lack of stimulation or challenge.,Very high susceptibility to boredom in conversation,Extremely low susceptibility to boredom in conversation,"I'm really enjoying our conversation, and I'm happy to explore this topic in more depth with you."
