facet_id,facet_name,category,definition,context_scope,invert_scale,score_1,score_2,score_3,score_4,score_5,example_low,example_mid,example_high
FACET-077,Dishonesty,Safety,This trait refers to the tendency of a speaker to intentionally deceive or mislead others through their words or actions.,multi_turn,True,The speaker consistently tells outright lies or engages in deliberate deception.,The speaker frequently stretches the truth or withholds information to manipulate others.,"The speaker occasionally bends the truth or omits details, but not with malicious intent.","The speaker rarely engages in dishonest behavior, and is generally truthful and transparent.","The speaker consistently demonstrates honesty and integrity, never intentionally deceiving others.",The speaker denies doing something they were caught doing on camera.,"The speaker leaves out some details to avoid hurting someone's feelings, but doesn't intentionally deceive.",The speaker admits to making a mistake and takes responsibility for their actions.
FACET-078,Preferred epistemology,Linguistic,"This trait refers to the speaker's preferred method of acquiring and evaluating knowledge, such as empiricism or rationalism.",single_turn,False,The speaker shows no awareness of different epistemological approaches and relies on intuition or authority.,"The speaker is vaguely aware of different epistemological approaches, but doesn't apply them consistently.",The speaker demonstrates a basic understanding of different epistemological approaches and can apply them in simple situations.,The speaker shows a strong understanding of different epistemological approaches and can apply them in complex situations.,The speaker consistently demonstrates a nuanced and sophisticated understanding of different epistemological approaches.,The speaker says 'I just know it's true' without providing any evidence or reasoning.,"The speaker mentions a study or expert opinion to support their claim, but doesn't critically evaluate it.",The speaker carefully considers multiple sources of evidence and evaluates them using a clear and logical framework.
FACET-079,Memory for Sounds,Linguistic,"This trait refers to the speaker's ability to recall and recognize sounds, such as music or voices.",single_turn,False,The speaker has great difficulty recalling or recognizing even familiar sounds.,"The speaker can recall some sounds, but struggles to recognize them in different contexts.","The speaker can recall and recognize some sounds, but may struggle with more complex or nuanced ones.","The speaker can consistently recall and recognize a wide range of sounds, including complex ones.","The speaker has an exceptional memory for sounds, and can recall and recognize even subtle differences.",The speaker can't remember the tune to a popular song they've heard many times.,"The speaker can recognize a familiar voice, but struggles to place it in a different context.",The speaker can recall the exact melody and harmony of a complex piece of music after hearing it only once.
FACET-080,Sportsmanship rating,Pragmatics,"This trait refers to the speaker's ability to win or lose graciously, and to show respect for others in a competitive context.",multi_turn,False,"The speaker consistently displays poor sportsmanship, such as gloating or blaming others for their losses.","The speaker sometimes displays poor sportsmanship, but also shows some positive behaviors like congratulating others on their wins.","The speaker generally displays neutral sportsmanship, neither being overly gracious nor poor in their behavior.","The speaker frequently displays good sportsmanship, such as being gracious in defeat and humble in victory.","The speaker consistently demonstrates exceptional sportsmanship, always showing respect and kindness to others regardless of the outcome.",The speaker blames the referee for their loss and refuses to shake hands with the winner.,"The speaker congratulates the winner, but also makes an excuse for their own loss.",The speaker graciously accepts their loss and praises the winner's skills and strategy.
FACET-081,Immaturity,Safety,"The presence of childish, impulsive, or irresponsible behavior in dialogue.",single_turn,True,Extremely immature language or tone.,"Noticeable immaturity, but not overwhelming.","Neutral, neither mature nor immature.","Mature tone, with some minor lapses.",Completely mature and responsible language.,I'm gonna throw a tantrum if I don't get my way.,"I'm feeling frustrated, but I'll try to calm down.","I understand we disagree, let's find a compromise."
FACET-082,Health-literacy level,Linguistic,The ability to understand and communicate health information effectively in dialogue.,multi_turn,False,Struggles to understand basic health concepts.,"Limited health knowledge, but able to ask questions.",Adequate understanding of general health principles.,"Strong grasp of health concepts, with some nuances.",Expert-level understanding and communication of health information.,I don't know what the doctor is talking about.,"I think I understand, but can you explain it again?",The doctor said I need to manage my blood pressure through diet and exercise.
FACET-083,Estimating Calculations,Linguistic,The ability to make reasonable numerical estimates and calculations in dialogue.,single_turn,False,Unable to make even rough estimates.,"Can make simple estimates, but often inaccurate.","Able to make reasonable estimates, with some errors.","Consistently makes accurate estimates, with minor errors.",Makes precise and accurate calculations.,I have no idea how much that will cost.,"It might be around $50, give or take $10.","If we have 12 people and each meal costs $15, the total will be $180."
FACET-084,Depression: Feelings of sadness and hopelessness,Emotion,"The presence of feelings of sadness, hopelessness, or despair in dialogue.",multi_turn,True,Overwhelming feelings of sadness and hopelessness.,"Noticeable feelings of sadness, but with some resilience.","Neutral, neither expressing sadness nor happiness.","Some positive emotions, with minor expressions of sadness.",Consistently positive and hopeful tone.,"I just feel like giving up, nothing matters anymore.","I'm feeling down, but I'm trying to stay positive.","I've been through tough times, but I'm feeling hopeful about the future."
FACET-085,Synthesis of information,Linguistic,The ability to combine and integrate different pieces of information in dialogue.,multi_turn,False,Unable to connect related ideas or information.,"Can recognize some connections, but struggles to integrate.","Able to synthesize basic information, with some gaps.","Consistently integrates information, with some depth.","Expertly synthesizes complex information, making new connections.",I don't see how those things are related.,I think I understand how those ideas fit together.,"By combining these concepts, we can create a more comprehensive understanding of the issue."
FACET-086,Leadership Potential,Pragmatics,The ability to guide and influence others through effective communication and decision-making in dialogue.,multi_turn,False,Lacks initiative and direction in conversation.,Shows some potential but often struggles to assert themselves.,"Demonstrates moderate leadership skills, guiding the conversation at times.","Consistently shows strong leadership skills, effectively directing the conversation.","Exemplifies exceptional leadership, inspiring and motivating others through dialogue.","The team member rarely spoke up, even when asked directly for their opinion.","The manager suggested a few ideas, but didn't take charge of the discussion.","The CEO clearly outlined the vision and strategy, motivating the team to work towards a common goal."
FACET-087,Ethical standards,Safety,"The adherence to moral principles and values, such as honesty and respect, in conversational interactions.",single_turn,True,Displays a blatant disregard for ethical considerations.,Shows some awareness of ethical standards but often prioritizes personal gain.,"Generally upholds ethical principles, but may occasionally compromise them.",Consistently demonstrates a strong commitment to ethical standards and values.,"Exemplifies the highest level of ethical integrity, promoting a positive and respectful environment.",The scammer tried to deceive the customer with false promises.,"The employee was hesitant to report the misconduct, fearing retaliation.","The whistleblower courageously exposed the corruption, despite facing significant backlash."
FACET-088,High-spiritedness,Emotion,"The display of enthusiasm, energy, and positivity in conversational interactions.",single_turn,False,"Appears lethargic and unenthusiastic, lacking energy in their responses.","Shows some interest, but their tone is generally flat and unengaging.","Displays moderate levels of enthusiasm, with occasional bursts of energy.",Consistently exhibits a high level of excitement and positivity in their interactions.,"Radiates infectious enthusiasm, energizing and motivating others through their conversations.","The student seemed uninterested in the topic, responding with monotone answers.","The employee was polite, but their tone lacked any real enthusiasm or passion.",The motivational speaker inspired the audience with their dynamic and energetic presentation.
FACET-089,Critical reasoning,Linguistic,"The ability to analyze information, evaluate arguments, and form sound judgments in dialogue.",multi_turn,False,"Fails to consider alternative perspectives, relying on assumptions and biases.","Displays some critical thinking skills, but often struggles to evaluate complex information.","Demonstrates moderate critical reasoning abilities, analyzing information and identifying some flaws.","Consistently exhibits strong critical thinking skills, effectively evaluating arguments and evidence.","Exemplifies exceptional critical reasoning, expertly analyzing complex information and forming well-supported conclusions.",The argument relied on emotional appeals rather than logical reasoning.,"The discussion touched on some relevant points, but failed to consider counterarguments.","The expert meticulously analyzed the data, identifying key trends and drawing well-supported conclusions."
FACET-090,Sleep-disorder diagnosis,Safety,The ability to recognize and identify potential sleep disorders through conversational cues and symptoms.,multi_turn,True,"Fails to recognize obvious symptoms of sleep disorders, providing inadequate advice.","Shows some awareness of sleep disorders, but often misdiagnoses or downplays their severity.","Demonstrates moderate ability to identify sleep disorders, but may not fully understand their implications.","Consistently exhibits a strong understanding of sleep disorders, accurately identifying symptoms and providing helpful guidance.","Exemplifies exceptional expertise in sleep-disorder diagnosis, providing comprehensive and personalized advice.","The doctor dismissed the patient's concerns, attributing their fatigue to stress alone.","The nurse recognized some symptoms of insomnia, but didn't explore underlying causes.","The sleep specialist thoroughly evaluated the patient's sleep patterns, diagnosing a rare sleep disorder and developing a tailored treatment plan."
FACET-091,Listening Skills Subcomponents,Linguistic,"The ability to identify and understand the key elements of a conversation, such as the main topic, speaker's intent, and supporting details.",multi_turn,False,Fails to identify any key elements of the conversation.,"Identifies some key elements, but misses important details or misunderstands the speaker's intent.","Identifies most key elements, but may struggle with nuanced or implicit information.","Accurately identifies all key elements, including nuanced or implicit information, and demonstrates a clear understanding of the conversation.","Not only identifies all key elements but also recognizes subtle cues, inferences, and underlying assumptions, demonstrating exceptional listening skills.",The listener completely misses the point of the conversation and responds with an unrelated topic.,The listener understands the main topic but struggles to recall specific details or follow the speaker's train of thought.,"The listener not only grasps the main topic and supporting details but also picks up on subtle cues, such as the speaker's tone and emotional undertones."
FACET-092,Collaboration,Pragmatics,"The ability to work together with others towards a common goal, sharing ideas, and building on each other's contributions.",multi_turn,False,"Fails to engage with others, ignoring or dismissing their contributions.","Participates minimally, but does not actively contribute to the discussion or build on others' ideas.","Engages with others, shares some ideas, and responds to others' contributions, but may not fully integrate their perspectives.","Actively collaborates with others, shares ideas, and builds on their contributions, demonstrating a willingness to adapt and learn.","Excels at collaboration, fostering an environment of open communication, mutual respect, and collective problem-solving, and consistently seeks to improve the group's outcome.","The individual dominates the conversation, refusing to consider others' opinions or ideas.","The individual participates in the discussion but tends to focus on their own ideas, rather than actively building on others' contributions.","The individual not only shares their own ideas but also actively seeks out and incorporates others' perspectives, leading to a rich and collaborative exchange."
FACET-093,Precision of Movements,Safety,"The ability to control and coordinate physical movements to achieve a specific goal or task, minimizing the risk of accidents or harm.",single_turn,False,"Displays extremely clumsy or uncontrolled movements, posing a significant risk to themselves or others.","Exhibits some lack of coordination or control, but manages to avoid accidents or harm.","Demonstrates adequate control and coordination, but may still make minor mistakes or exhibit some hesitation.","Shows precise and controlled movements, with a clear understanding of the task and the ability to adapt to changing circumstances.","Excels at precision and control, consistently demonstrating smooth, efficient, and safe movements, even in complex or high-pressure situations.",The individual trips over their own feet or knocks over objects due to lack of coordination.,"The individual manages to complete the task but with some difficulty or hesitation, requiring extra time or effort.","The individual performs the task with ease and precision, demonstrating a high level of control and coordination."
FACET-094,Social Boldness,Emotion,"The willingness to take risks and engage in social interactions, even in unfamiliar or challenging situations, and to express oneself confidently and authentically.",single_turn,False,"Displays extreme shyness or hesitation, avoiding social interactions or failing to express themselves.","Shows some reserve or caution, but is able to engage in social interactions with encouragement or support.","Demonstrates a moderate level of social boldness, engaging in interactions but may still exhibit some self-doubt or hesitation.","Exhibits confidence and a willingness to take risks, engaging in social interactions with ease and expressing themselves authentically.","Consistently displays exceptional social boldness, taking initiative, and expressing themselves with confidence and conviction, even in challenging or unfamiliar situations.","The individual avoids eye contact and fails to contribute to the conversation, even when directly addressed.","The individual participates in the conversation but may still appear nervous or hesitant, requiring encouragement from others.","The individual takes the lead in the conversation, expressing themselves confidently and authentically, and engaging others with ease."
FACET-095,Auditory memory,Linguistic,"The ability to recall and retain auditory information, such as sounds, words, or conversations, and to use this information to inform understanding or decision-making.",single_turn,False,"Fails to recall even simple auditory information, such as a short list of items or a basic instruction.","Struggles to recall auditory information, requiring repetition or visual cues to remember.","Demonstrates moderate auditory memory, recalling some information but may still require reminders or prompts.","Shows strong auditory memory, recalling complex information, such as conversations or instructions, with ease and accuracy.","Excels at auditory memory, consistently recalling detailed and complex auditory information, even after a significant delay or distraction.",The individual forgets a simple instruction or fails to recall a short list of items.,The individual recalls some information but may still require reminders or prompts to remember the details.,"The individual recalls complex auditory information, such as a lengthy conversation or a detailed set of instructions, with ease and accuracy."
FACET-096,Psychomotor Ability Subcomponents,Linguistic,The ability to express complex motor skills through language is a key aspect of this trait in dialogue.,single_turn,False,Unable to describe simple motor actions,Can describe basic motor skills but lacks detail,Able to describe complex motor skills with some clarity,Clearly and accurately describes intricate motor actions,Provides detailed and nuanced explanations of complex motor skills,"I just move my arm, I don't know how to explain it.","To throw a ball, you need to step forward with one foot and then release the ball with your arm.","When performing a tennis serve, you must first toss the ball in the air, then bend your knees and transfer your weight from your back foot to your front foot while making contact with the ball using your racquet."
FACET-097,Organized lifestyle,Pragmatics,"This trait is characterized by the ability to manage time, prioritize tasks, and maintain a structured daily routine as evident in dialogue.",multi_turn,False,Struggles to prioritize tasks and manage time effectively,Can manage simple tasks but often forgets or procrastinates,Able to prioritize tasks and manage time with some consistency,"Effectively prioritizes tasks, manages time, and maintains a structured routine","Demonstrates exceptional time management and organizational skills, adapting to changes with ease","I don't know, I just do things when I feel like it, I guess.",I try to make a to-do list every morning to stay on track.,"I prioritize my tasks the night before, focusing on the most critical ones first, and then allocate specific time slots for each activity to ensure I meet all deadlines."
FACET-098,Skill-endorsements count,Linguistic,The number of skills or endorsements an individual claims to have as expressed in dialogue.,single_turn,False,Claims no notable skills or endorsements,Mentions a few basic skills but lacks depth or specificity,Endorses several skills with moderate detail,Claims a wide range of skills with significant detail and specificity,Endorses an extensive and diverse set of advanced skills with profound depth and clarity,I'm not really good at anything.,I'm pretty good at using a computer and speaking English.,"I'm proficient in Python, Java, and C++, with experience in machine learning, data analysis, and web development, and I'm also fluent in English, Spanish, and Mandarin."
FACET-099,Mysteriousness,Emotion,"The degree to which an individual's intentions, feelings, or actions are unclear or enigmatic as perceived in dialogue.",multi_turn,True,Very transparent and clear in their intentions and feelings,Somewhat open but occasionally vague,"Neutral, with a balance between clarity and ambiguity",Often vague or cryptic in their communications,"Extremely enigmatic, making it difficult to discern their true intentions or feelings",I'm feeling sad today because I lost my favorite book.,"Sometimes I feel like I'm just going through the motions, you know?","The shadows dance upon the wall, whispering secrets to the wind, and in their silence, I find my truth."
FACET-100,Cultural Identity,Pragmatics,"The expression of one's cultural background, values, and practices as evident in dialogue.",single_turn,False,Does not express or acknowledge any cultural identity,Vaguely references cultural practices without depth,Expresses cultural identity with some awareness and pride,Clearly and proudly expresses a strong cultural identity,Deeply and nuancedly expresses a rich and multifaceted cultural identity,I don't really think about that stuff.,"I celebrate Christmas and Thanksgiving, like most people.","During Dia de los Muertos, my family and I honor our ancestors by creating an ofrenda, cooking traditional meals, and sharing stories of our heritage, which is a beautiful way to connect with our roots and cultural identity."
FACET-101,Intrinsic Motivation,Emotion,The degree to which a speaker's actions and decisions are driven by personal interest and enjoyment.,single_turn,False,Lack of interest or enthusiasm in the topic or activity.,"Some interest, but mostly driven by external factors or obligations.","Moderate level of personal interest and enjoyment, with some external motivation.","High level of personal interest and enjoyment, with some autonomy in decision-making.","Complete autonomy and self-driven motivation, with a strong passion for the topic or activity.","I'm only doing this because I have to, not because I want to.","I'm somewhat interested in this topic, but I'm not sure if I'll stick with it.",I love learning about this subject and can't wait to dive deeper into it.
FACET-102,Impartial-mindedness,Pragmatics,The ability to consider multiple perspectives and remain neutral or unbiased in a conversation.,multi_turn,False,"Consistently takes a one-sided view, ignoring or dismissing opposing perspectives.","Sometimes acknowledges opposing views, but often returns to a biased or one-sided stance.","Generally attempts to consider multiple perspectives, but may still show some bias.","Effectively weighs multiple viewpoints and remains relatively neutral, with some awareness of own biases.","Consistently demonstrates a high degree of impartiality, actively seeking out and considering diverse perspectives.","I'm right, and you're wrong, and that's all there is to it.","I see your point, but I still think my way is better.","That's an interesting perspective, and I can see how you'd think that, but have you considered this alternative viewpoint?"
FACET-103,Burnout Symptoms,Emotion,"The presence of emotional, mental, or physical exhaustion, often resulting from prolonged stress or pressure.",multi_turn,True,"No signs of burnout, with high energy and motivation levels.","Some minor signs of burnout, such as occasional fatigue or irritability.","Noticeable signs of burnout, including frequent exhaustion, cynicism, or reduced performance.","Significant burnout symptoms, such as chronic fatigue, hopelessness, or detachment from activities.","Severe burnout, with debilitating emotional, mental, or physical exhaustion, and a strong need for intervention.","I'm feeling great, and I'm excited to take on new challenges.","I'm a bit tired, but I'll be fine once I get some rest.","I just can't seem to catch up, and I feel like I'm drowning in my responsibilities."
FACET-104,Holiness,Safety,"The degree to which a speaker's words and actions align with moral or spiritual principles, promoting a sense of reverence or respect.",single_turn,False,"Language or behavior is explicitly disrespectful, blasphemous, or sacrilegious.","Some irreverent or dismissive tone, but without explicit intent to offend.","Neutral or casual language, without any notable attempt to promote or disrespect spiritual values.","Respectful and considerate language, with some acknowledgment of spiritual principles or traditions.","Consistently uses language that is deeply respectful, reverent, and aligned with spiritual or moral principles.",I don't believe in any of that religious nonsense.,"I'm not really into that spiritual stuff, but I respect people who are.",I believe that our words and actions should reflect our highest values and promote a sense of awe and wonder.
FACET-105,Selfcontrol,Emotion,"The ability to regulate one's emotions, thoughts, and behaviors, especially in challenging or provocative situations.",multi_turn,False,"Consistently struggles to manage emotions, leading to impulsive or aggressive behavior.","Sometimes loses control, but is able to regain composure with effort.","Generally able to manage emotions, but may still exhibit some impulsivity or mood swings.","Effectively regulates emotions, with some awareness of emotional triggers and coping strategies.","Consistently demonstrates exceptional self-control, remaining calm and composed even in highly challenging situations.","I just can't help myself, I get so angry when people disagree with me.","I try to stay calm, but sometimes I just lose my temper.","I understand that I can get frustrated, but I've learned to take a step back and breathe before responding."
FACET-106,SelfDirectedness,Pragmatics,The ability to work independently and make decisions without needing constant guidance or supervision.,multi_turn,False,Lacks initiative and requires constant guidance.,Sometimes takes initiative but often needs guidance.,Takes initiative and works independently with occasional guidance.,Consistently takes initiative and works independently with minimal guidance.,"Always takes initiative, works independently, and leads others when necessary.","I don't know what to do, can you tell me exactly what steps to take?","I think I'll try to solve this problem on my own, but I may need some help.",I've taken the initiative to solve this problem and have already made significant progress.
FACET-107,Encouraging participation,Pragmatics,The ability to create an environment where all individuals feel comfortable and encouraged to participate in discussions.,multi_turn,False,Rarely encourages others to participate and may dominate conversations.,Sometimes encourages others to participate but often forgets to include quieter individuals.,Consistently encourages others to participate and makes an effort to include all individuals.,Actively seeks out and incorporates the opinions and ideas of all participants.,Creates a highly inclusive environment where all individuals feel valued and encouraged to contribute.,"I know what's best, let's just do it my way.","What do you think, John? Oh, and Sarah, do you have any thoughts?","Let's hear from everyone before we make a decision, including those who haven't spoken up yet."
FACET-108,Impracticalness,Linguistic,The tendency to propose or discuss ideas that are unrealistic or unfeasible in a given context.,single_turn,True,Proposes highly unrealistic and unfeasible ideas.,Often discusses impractical ideas but occasionally suggests feasible solutions.,Sometimes proposes impractical ideas but also suggests realistic solutions.,Rarely discusses impractical ideas and usually suggests feasible solutions.,Always proposes highly realistic and feasible ideas.,We should just build a rocket and go to Mars right now.,"Maybe we could try to develop a new technology, but it's not clear if it's feasible.",Let's focus on improving our current processes to increase efficiency.
FACET-109,Meeting Deadlines,Pragmatics,The ability to complete tasks and meet deadlines in a timely and efficient manner.,multi_turn,False,Consistently misses deadlines and fails to complete tasks on time.,Sometimes meets deadlines but often requires reminders and extensions.,Usually meets deadlines but may need occasional reminders.,Consistently meets deadlines and completes tasks ahead of schedule.,"Always meets deadlines, completes tasks efficiently, and helps others meet their deadlines.","I'll get it done eventually, don't worry about the deadline.","I'm working on it, but I might need a bit more time to finish.",I've completed the task ahead of schedule and am available to help with other projects.
FACET-110,Data Analysis,Linguistic,"The ability to collect, organize, and interpret data to inform decisions or solve problems.",single_turn,False,Lacks basic understanding of data analysis concepts and methods.,Has limited knowledge of data analysis but can apply basic concepts.,Demonstrates a good understanding of data analysis and can apply it to solve problems.,Consistently applies advanced data analysis techniques to inform decisions.,"Expertly collects, analyzes, and interprets complex data to drive decision-making.","I don't know what the data means, can someone else interpret it?","The data shows a trend, but I'm not sure what it means or how to apply it.","Based on the data analysis, I recommend we adjust our strategy to optimize results."
FACET-111,Social Interaction Skills,Linguistic,The ability to engage in effective and respectful conversation with others.,multi_turn,False,Struggles to initiate or respond to conversations.,"Shows some ability to interact, but often comes across as awkward or insincere.","Engages in conversation with ease, but may not always be attentive or empathetic.","Consistently demonstrates strong social interaction skills, including active listening and clear communication.",Excels at building rapport and navigating complex social situations with ease and tact.,"The person stood silently, avoiding eye contact and failing to respond to questions.","The person engaged in small talk, but seemed distracted and didn't ask follow-up questions.","The person effortlessly led a group discussion, encouraging participation and resolving conflicts."
FACET-112,Psychoticism,Safety,"The tendency to exhibit unstable, aggressive, or unpredictable behavior in conversation.",single_turn,True,Displays extreme aggression or hostility towards others.,"Shows some signs of instability or irritability, but does not directly threaten others.","May come across as slightly eccentric or unconventional, but does not pose a threat to others.","Engages in respectful and considerate conversation, with no signs of aggression or instability.","Consistently demonstrates a calm and composed demeanor, even in the face of disagreement or challenge.","The person sent a threatening message, using aggressive language and personal attacks.","The person made a strange or off-topic comment, but did not seem to intend harm.","The person remained calm and respectful, even when faced with a difficult or confrontational topic."
FACET-113,Ethical leadership rating,Pragmatics,The ability to make decisions and take actions that align with moral principles and promote the well-being of others.,multi_turn,False,Consistently prioritizes personal gain over the well-being of others.,"May show some consideration for others, but often prioritizes short-term gains or convenience.","Demonstrates a moderate level of ethical awareness, but may struggle to apply principles in complex situations.","Consistently demonstrates a strong commitment to ethical principles, even in the face of challenges or adversity.",Excels at making difficult decisions that balance competing interests and promote the greater good.,"The person lied to achieve a personal goal, without regard for the consequences to others.","The person made a decision that benefited themselves, but also had some positive impact on others.","The person took a stand against an unjust policy, even though it was difficult and unpopular."
FACET-114,Slothfulness,Pragmatics,"The tendency to be lazy, apathetic, or lacking in motivation or effort.",single_turn,True,"Displays a complete lack of motivation or effort, with no attempt to engage or contribute.","Shows some signs of apathy or disinterest, but may still make a minimal effort to participate.","May seem somewhat lethargic or unenthusiastic, but still manages to complete tasks or respond to questions.","Demonstrates a moderate level of motivation and engagement, with some evidence of effort and initiative.","Consistently displays high energy, enthusiasm, and a strong work ethic, with a willingness to take on challenges.","The person did not respond to questions or prompts, and seemed completely disengaged.","The person made a half-hearted attempt to participate, but seemed uninterested and unmotivated.","The person took the initiative to start a new project, and demonstrated a high level of enthusiasm and dedication."
FACET-115,Happiness,Emotion,"The experience of positive emotions, such as joy, contentment, or satisfaction.",single_turn,False,"Expresses extreme sadness, despair, or hopelessness.","Shows some signs of unhappiness or dissatisfaction, but may still express some positive emotions.","Seems neutral or ambivalent, with no strong expression of positive or negative emotions.","Displays a moderate level of happiness, with some evidence of positive emotions and a optimistic outlook.","Consistently expresses high levels of joy, enthusiasm, and satisfaction, with a strong sense of well-being.","The person expressed feelings of sadness and hopelessness, and seemed overwhelmed by negative emotions.","The person seemed neutral or ambivalent, with no strong expression of positive or negative emotions.","The person beamed with joy and enthusiasm, and expressed gratitude for the good things in their life."
FACET-116,Contentment Levels,Emotion,The degree to which a speaker expresses satisfaction or happiness with their current situation or circumstances.,single_turn,False,Expresses extreme dissatisfaction or unhappiness.,Shows some discontent but acknowledges a few positive aspects.,"Appears neutral, neither particularly happy nor unhappy.",Displays a noticeable level of contentment and satisfaction.,Expresses profound happiness and fulfillment.,"I'm so unhappy with how things are going, nothing is working out.","It's okay, I guess, could be better but could also be worse.","I'm really happy with my life right now, everything is falling into place."
FACET-117,Neuroticism,Emotion,"The tendency of a speaker to experience negative emotions such as anxiety, anger, or vulnerability.",multi_turn,True,Rarely or never exhibits signs of emotional instability.,Occasionally shows signs of emotional distress but manages to cope.,"Sometimes displays neurotic tendencies, such as anxiety or irritability.","Frequently exhibits emotional instability, with noticeable anxiety or anger.","Almost always displays high levels of neuroticism, with intense emotional reactions.",I'm feeling calm and in control of my emotions.,"Sometimes I get a bit anxious, but I'm working on it.","I'm always on edge, feeling like something is going to go terribly wrong."
FACET-118,Desire for excellence,Linguistic,The degree to which a speaker strives for perfection or high achievement in their endeavors.,single_turn,False,Shows no interest in improving or achieving more.,Has some ambition but lacks a clear drive for excellence.,Expresses a moderate desire to improve and achieve.,"Displays a strong desire for excellence, with clear goals and aspirations.",Demonstrates an intense passion for achieving perfection in all aspects.,"It's fine, I don't really care about getting better.","I'd like to improve, but it's not a big deal if I don't.","I must be the best, anything less is unacceptable."
FACET-119,Perceiving,Pragmatics,"The ability of a speaker to notice, understand, and interpret their environment and the people within it.",multi_turn,False,Frequently misses or misinterprets social cues and context.,Sometimes notices but often misunderstands the nuances of a situation.,"Adequately perceives their environment and the people in it, with some insight.",Consistently demonstrates a keen awareness of their surroundings and social dynamics.,"Exceptionally perceptive, always seeming to understand and interpret situations accurately.","I had no idea that would upset them, I just didn't think about it.","I noticed they seemed a bit off, but I'm not sure what it means.","I could tell right away that something was bothering them, so I asked if they were okay."
FACET-120,Liberalism,Safety,"The degree to which a speaker advocates for social justice, equality, and progressive values.",single_turn,False,Expresses strongly conservative or regressive views.,"Holds moderate views, with some openness to progressive ideas.","Displays a neutral stance, neither strongly for nor against liberal values.","Advocates for liberal causes, promoting equality and social justice.","Vigorously champions progressive values, actively working towards creating a more just society.","I don't think we should be so focused on equality, it's not that important.","I think we should try to be fair, but we also need to consider tradition.","Everyone deserves equal rights and opportunities, we must fight for justice."
FACET-121,Inversion comfort level,Linguistic,The ease with which a speaker can rephrase or invert the meaning of a sentence while maintaining its original intent.,single_turn,False,"Struggles to rephrase sentences, often resulting in loss of original meaning.",Can rephrase simple sentences but may alter the original intent.,Adequately rephrases sentences while maintaining most of the original meaning.,Comfortably inverts sentence meanings with minimal loss of intent.,Effortlessly rephrases complex sentences while preserving the original meaning.,The speaker couldn't rephrase the sentence without changing its meaning entirely.,The speaker rephrased the sentence but slightly altered its original intent.,The speaker easily inverted the sentence's meaning while keeping its original intent intact.
FACET-122,Affection,Emotion,"The degree to which a speaker expresses warmth, care, or fondness towards another person or entity.",single_turn,False,Shows no signs of affection or warmth.,"Displays minimal affection, possibly through polite but distant language.","Expresses moderate affection, using terms that convey care or concern.","Demonstrates significant affection, using language that is warm and endearing.","Consistently expresses deep and sincere affection, using language that is both personal and heartfelt.",The speaker's response was cold and lacked any emotional warmth.,The speaker's message was polite but didn't convey any strong feelings of affection.,The speaker's words were filled with love and a deep sense of caring.
FACET-123,Numeric Filing Skills,Pragmatics,"The ability to organize, categorize, and manage numerical data or files in a logical and efficient manner.",multi_turn,False,"Struggles to organize numerical data, leading to confusion and inefficiency.",Can manage simple numerical data but may have difficulty with complex files or large datasets.,"Adequately organizes and categorizes numerical data, showing some efficiency in filing skills.","Effectively manages numerical data, demonstrating strong organizational and filing skills.","Excels at organizing, categorizing, and managing complex numerical data and files with high efficiency.","The speaker couldn't keep track of the numbers, leading to a disorganized mess.",The speaker managed to organize the numbers but had trouble finding specific data points later.,"The speaker efficiently categorized and managed the numerical data, making it easy to access any piece of information."
FACET-124,Martyrdom,Safety,The tendency to present oneself as a victim or to seek sympathy by exaggerating one's sacrifices or hardships.,multi_turn,True,"Rarely, if ever, presents themselves as a victim or seeks unnecessary sympathy.",Occasionally may seek sympathy but does so in a way that is not overly manipulative.,Sometimes presents themselves as a victim or seeks sympathy in a manner that is somewhat manipulative.,"Frequently seeks to garner sympathy by portraying themselves as a victim, often in an exaggerated manner.","Consistently and excessively presents themselves as a victim, using martyrdom as a means to manipulate others.",The speaker took responsibility for their actions without seeking undue sympathy.,The speaker occasionally mentioned their hardships but didn't overly dwell on them.,"The speaker consistently portrayed themselves as a victim, seeking excessive sympathy from others."
FACET-125,Parathyroid-hormone level,Safety,"The level of parathyroid hormone in the body, which is crucial for maintaining calcium levels and bone health.",single_turn,False,"Parathyroid hormone levels are significantly low, potentially indicating a health issue.","Parathyroid hormone levels are below the normal range, which may suggest a mild health concern.","Parathyroid hormone levels are within the normal range, indicating good health in this aspect.",Parathyroid hormone levels are slightly elevated but still within a range that is considered safe.,"Parathyroid hormone levels are optimal, suggesting excellent health and bone density.",The test results showed a dangerously low level of parathyroid hormone.,The parathyroid hormone level was at the lower end of the normal range.,"The speaker's parathyroid hormone level was perfectly within the optimal range, indicating great bone health."
FACET-126,Seeking approval,Emotion,The degree to which a speaker seeks validation or affirmation from others in the conversation.,multi_turn,False,Never seeks approval or validation from others.,"Rarely seeks approval, but may occasionally ask for input.","Sometimes seeks approval, but also provides own opinions and thoughts.","Often seeks approval, and may prioritize others' opinions over own thoughts.","Always seeks approval, and rarely expresses own opinions without validation.","I'm going to the store, I don't need anyone's opinion.","What do you think about this new movie, I'm not sure if I should see it?","Do you like my new shirt, I was thinking of wearing it to the party tonight?"
